# Logfile created on 2015-06-08 17:03:05 +0800 by logger.rb/44203
I, [2015-06-08 17:03:05#10850]  INFO -- : SUCCESS, Image /ROR/image/admin/astronaut.jpg Create Success!!
I, [2015-06-12 03:20:27#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/67/00001.jpg Create Success!!
I, [2015-06-12 03:20:28#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/81/00001.jpg Create Success!!
I, [2015-06-12 03:20:28#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/182/00001.jpg Create Success!!
I, [2015-06-12 03:20:28#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/154/00001.jpg Create Success!!
I, [2015-06-12 03:20:28#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/188/00001.jpg Create Success!!
I, [2015-06-12 03:20:28#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/35/00001.jpg Create Success!!
I, [2015-06-12 03:20:28#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/36/00001.jpg Create Success!!
I, [2015-06-12 03:20:28#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/133/00001.jpg Create Success!!
I, [2015-06-12 03:20:29#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/62/00001.jpg Create Success!!
I, [2015-06-12 03:20:29#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/112/00001.jpg Create Success!!
I, [2015-06-12 03:20:29#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/74/00001.jpg Create Success!!
I, [2015-06-12 03:20:29#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/165/00001.jpg Create Success!!
I, [2015-06-12 03:20:29#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/88/00001.jpg Create Success!!
I, [2015-06-12 03:20:29#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/38/00001.jpg Create Success!!
I, [2015-06-12 03:20:29#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/69/00001.jpg Create Success!!
I, [2015-06-12 03:20:29#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/4/00001.jpg Create Success!!
I, [2015-06-12 03:20:30#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/130/00001.jpg Create Success!!
I, [2015-06-12 03:20:30#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/99/00001.jpg Create Success!!
I, [2015-06-12 03:20:30#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/147/00001.jpg Create Success!!
I, [2015-06-12 03:20:30#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/136/00001.jpg Create Success!!
I, [2015-06-12 03:20:30#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/51/00001.jpg Create Success!!
I, [2015-06-12 03:20:30#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/187/00001.jpg Create Success!!
I, [2015-06-12 03:20:31#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/93/00001.jpg Create Success!!
I, [2015-06-12 03:20:31#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/105/00001.jpg Create Success!!
I, [2015-06-12 03:20:31#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/168/00001.jpg Create Success!!
I, [2015-06-12 03:20:31#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/184/00001.jpg Create Success!!
I, [2015-06-12 03:20:31#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/5/00001.jpg Create Success!!
I, [2015-06-12 03:20:31#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/139/00001.jpg Create Success!!
I, [2015-06-12 03:20:31#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/126/00001.jpg Create Success!!
I, [2015-06-12 03:20:32#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/135/00001.jpg Create Success!!
I, [2015-06-12 03:20:32#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/164/00001.jpg Create Success!!
I, [2015-06-12 03:20:32#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/56/00001.jpg Create Success!!
I, [2015-06-12 03:20:32#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/66/00001.jpg Create Success!!
I, [2015-06-12 03:20:32#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/92/00001.jpg Create Success!!
I, [2015-06-12 03:20:32#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/32/00001.jpg Create Success!!
I, [2015-06-12 03:20:33#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/96/00001.jpg Create Success!!
I, [2015-06-12 03:20:33#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/3/00001.jpg Create Success!!
I, [2015-06-12 03:20:33#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/196/00001.jpg Create Success!!
I, [2015-06-12 03:20:33#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/14/00002.jpg Create Success!!
I, [2015-06-12 03:20:33#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/83/00001.jpg Create Success!!
I, [2015-06-12 03:20:33#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/15/00002.jpg Create Success!!
I, [2015-06-12 03:20:33#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/70/00001.jpg Create Success!!
I, [2015-06-12 03:20:33#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/113/00001.jpg Create Success!!
I, [2015-06-12 03:20:33#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/16/00002.jpg Create Success!!
I, [2015-06-12 03:20:33#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/33/00002.jpg Create Success!!
I, [2015-06-12 03:20:34#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/63/00001.jpg Create Success!!
I, [2015-06-12 03:20:34#5687]  INFO -- : SUCCESS, Image /ROR/image/admin/80/00001.jpg Create Success!!
